NAME,GEOID,totpop_16,totpop_17,totpop_18,totpopdens_16,totpopdens_17,totpopdens_18,Area_km2
"Census Tract 1103.04, Loiza ",72087110304,290,259,250,377,337,325,0.76943988
"Census Tract 1104, Loiza ",72087110400,213,198,200,418,389,393,0.50941855
"Census Tract 1105, Loiza ",72087110500,115,113,100,116,114,101,0.99011634
"Census Tract 1106, Loiza ",72087110600,252,235,200,8,8,7,30.49400099
"Census Tract 1401.01, Luquillo ",72089140101,233,220,250,14,13,15,16.39929889
"Census Tract 1401.02, Luquillo ",72089140102,230,206,200,8,7,7,27.98704507
"Census Tract 1402.01, Luquillo ",72089140201,135,125,150,52,49,58,2.57658028
"Census Tract 1402.02, Luquillo ",72089140202,335,293,300,164,144,147,2.03962488
"Census Tract 1403, Luquillo ",72089140300,359,337,300,19,17,16,19.26709159
"Census Tract 9900.01, Luquillo ",72089990001,0,0,0,0,0,0,0.13150825
"Census Tract 5701, Manati ",72091570100,291,267,250,16,14,13,18.73510153
"Census Tract 5702.01, Manati ",72091570201,382,352,350,64,59,59,5.92422472
"Census Tract 5702.02, Manati ",72091570202,220,217,250,10,10,11,21.94210197
"Census Tract 5703, Manati ",72091570300,281,236,250,312,262,278,0.90035068
"Census Tract 5704, Manati ",72091570400,260,236,250,252,228,242,1.03379335
"Census Tract 5705, Manati ",72091570500,364,346,350,87,82,83,4.20496252
"Census Tract 5706, Manati ",72091570600,246,229,200,201,187,164,1.22141777
"Census Tract 5707, Manati ",72091570700,296,285,300,8,8,9,35.18379989
"Census Tract 5708, Manati ",72091570800,285,255,250,9,8,8,30.72535317
"Census Tract 9601, Maricao ",72093960100,272,264,250,3,3,3,84.48440441
"Census Tract 9602, Maricao ",72093960200,217,199,200,21,19,19,10.37986980
"Census Tract 9514, Maunabo ",72095951400,287,267,250,10,9,9,28.20025383
"Census Tract 9515, Maunabo ",72095951500,168,154,150,7,6,6,24.88487160
"Census Tract 9516, Maunabo ",72095951600,205,183,200,118,105,115,1.74351439
"Census Tract 801, Mayaguez ",72097080100,112,102,100,136,124,121,0.82514013
"Census Tract 802, Mayaguez ",72097080200,158,148,150,162,152,154,0.97562039
"Census Tract 803, Mayaguez ",72097080300,253,234,250,593,549,586,0.42655109
"Census Tract 804, Mayaguez ",72097080400,129,120,150,260,242,302,0.49648543
"Census Tract 805, Mayaguez ",72097080500,132,132,150,612,612,696,0.21553351
"Census Tract 806, Mayaguez ",72097080600,131,130,100,232,230,177,0.56526982
