NAME,GEOID,totpop_16,totpop_17,totpop_18,totpopdens_16,totpopdens_17,totpopdens_18,Area_km2
"Census Tract 49, San Juan ",72127004900,198,166,150,207,173,157,0.95801322
"Census Tract 50, San Juan ",72127005000,339,285,300,251,211,222,1.34984994
"Census Tract 51.01, San Juan ",72127005101,245,235,250,437,419,446,0.56031985
"Census Tract 51.02, San Juan ",72127005102,258,235,250,416,379,403,0.62037141
"Census Tract 51.03, San Juan ",72127005103,228,203,200,322,287,282,0.70797425
"Census Tract 52.01, San Juan ",72127005201,212,170,150,437,351,309,0.48475490
"Census Tract 52.02, San Juan ",72127005202,205,189,150,372,343,272,0.55096325
"Census Tract 52.04, San Juan ",72127005204,227,215,200,333,315,293,0.68252412
"Census Tract 52.14, San Juan ",72127005214,274,241,250,417,367,381,0.65631601
"Census Tract 52.15, San Juan ",72127005215,159,140,150,128,113,121,1.23882647
"Census Tract 53, San Juan ",72127005300,206,182,150,386,341,281,0.53321615
"Census Tract 54.01, San Juan ",72127005401,377,372,350,164,162,152,2.30031291
"Census Tract 54.02, San Juan ",72127005402,173,152,150,1111,976,963,0.15568456
"Census Tract 54.03, San Juan ",72127005403,257,224,200,136,118,106,1.89169040
"Census Tract 4010, Aguadilla ",72005401000,166,161,150,292,284,264,0.56758240
"Census Tract 4011, Aguadilla ",72005401100,156,147,150,151,142,145,1.03629778
"Census Tract 4012, Aguadilla ",72005401200,244,208,200,14,12,12,17.06671427
"Census Tract 4013.01, Aguadilla ",72005401301,330,295,300,145,130,132,2.26868791
"Census Tract 4013.02, Aguadilla ",72005401302,243,231,200,13,13,11,18.17406111
"Census Tract 4014.01, Aguadilla ",72005401401,622,610,600,91,89,88,6.84151455
"Census Tract 4014.02, Aguadilla ",72005401402,284,291,300,27,27,28,10.63392776
"Census Tract 2301, Aguas Buenas ",72007230100,209,190,200,16,14,15,13.14577305
"Census Tract 2302, Aguas Buenas ",72007230200,235,222,200,18,17,15,13.18407225
"Census Tract 2303, Aguas Buenas ",72007230300,170,154,150,98,89,86,1.73970726
"Census Tract 2304, Aguas Buenas ",72007230400,298,260,250,11,10,10,26.31578058
"Census Tract 2305.01, Aguas Buenas ",72007230501,239,207,200,28,24,23,8.62671821
"Census Tract 2305.02, Aguas Buenas ",72007230502,255,235,250,17,16,17,14.93582601
"Census Tract 2501, Aibonito ",72009250100,208,181,200,9,8,8,23.61439476
"Census Tract 2502, Aibonito ",72009250200,324,269,250,19,16,14,17.33732634
"Census Tract 2503, Aibonito ",72009250300,225,208,200,98,90,87,2.30305472
"Census Tract 2504, Aibonito ",72009250400,175,175,200,60,60,69,2.89755768
"Census Tract 2505, Aibonito ",72009250500,330,309,300,58,54,53,5.68732508
"Census Tract 2506, Aibonito ",72009250600,255,221,200,9,8,7,29.32671926
"Census Tract 8101, A?asco ",72011810100,247,236,200,6,5,4,44.73473939
"Census Tract 8102, A?asco ",72011810200,291,266,200,14,13,10,20.62969320
"Census Tract 8103, A?asco ",72011810300,271,254,250,347,325,320,0.78185795
"Census Tract 8104, A?asco ",72011810400,118,108,100,187,171,158,0.63192174
"Census Tract 8105, A?asco ",72011810500,216,218,200,18,18,17,11.94247422
"Census Tract 8106, A?asco ",72011810600,255,222,250,18,15,17,14.44336983
"Census Tract 8107, A?asco ",72011810700,276,241,200,29,25,21,9.54971217
"Census Tract 3001.01, Arecibo ",72013300101,313,281,300,17,15,16,18.33033692
"Census Tract 3001.02, Arecibo ",72013300102,330,299,300,30,27,27,11.16971342
"Census Tract 3002, Arecibo ",72013300200,239,222,200,13,12,11,18.17619054
"Census Tract 3003.01, Arecibo ",72013300301,211,180,150,37,32,26,5.66415315
"Census Tract 3003.02, Arecibo ",72013300302,202,182,150,11,10,8,18.96759587
"Census Tract 3004, Arecibo ",72013300400,165,148,150,74,67,68,2.21755208
"Census Tract 3005, Arecibo ",72013300500,142,123,90,250,217,159,0.56771642
"Census Tract 3007, Arecibo ",72013300700,166,151,150,165,150,149,1.00592224
"Census Tract 3008, Arecibo ",72013300800,222,185,200,130,108,117,1.70775366
"Census Tract 3010, Arecibo ",72013301000,230,215,200,60,56,52,3.83307485
"Census Tract 3011, Arecibo ",72013301100,294,281,250,42,40,35,7.05601672
"Census Tract 3012, Arecibo ",72013301200,249,241,250,127,123,127,1.96504108
"Census Tract 3013, Arecibo ",72013301300,239,225,200,215,203,180,1.10962751
"Census Tract 3014, Arecibo ",72013301400,147,134,150,167,152,170,0.88027472
"Census Tract 3015, Arecibo ",72013301500,228,216,200,40,38,35,5.65087493
"Census Tract 3016, Arecibo ",72013301600,277,244,200,11,9,8,25.92695094
"Census Tract 55, San Juan ",72127005500,223,188,200,198,167,178,1.12661584
"Census Tract 56.01, San Juan ",72127005601,255,209,200,388,318,305,0.65677827
"Census Tract 56.02, San Juan ",72127005602,301,272,250,488,441,406,0.61634014
"Census Tract 58, San Juan ",72127005800,214,199,200,130,121,121,1.64994982
"Census Tract 59, San Juan ",72127005900,187,156,150,827,690,664,0.22603589
"Census Tract 60, San Juan ",72127006000,206,182,150,625,552,455,0.32976835
"Census Tract 61.01, San Juan ",72127006101,173,165,150,307,293,266,0.56324205
"Census Tract 61.02, San Juan ",72127006102,186,174,150,361,338,291,0.51498686
"Census Tract 62, San Juan ",72127006200,230,222,200,870,840,757,0.26428917
"Census Tract 63, San Juan ",72127006300,207,199,200,196,188,189,1.05654016
"Census Tract 65, San Juan ",72127006500,219,195,200,313,279,286,0.69991942
"Census Tract 66, San Juan ",72127006600,201,190,200,411,389,409,0.48863890
"Census Tract 67, San Juan ",72127006700,178,178,200,195,195,220,0.91062476
"Census Tract 68, San Juan ",72127006800,190,182,200,208,200,219,0.91187063
"Census Tract 69, San Juan ",72127006900,243,227,250,446,417,459,0.54468349
"Census Tract 70.04, San Juan ",72127007004,140,111,100,36,28,26,3.92007888
"Census Tract 71, San Juan ",72127007100,311,253,250,497,404,400,0.62557099
"Census Tract 73, San Juan ",72127007300,261,242,250,225,209,216,1.15801876
"Census Tract 74, San Juan ",72127007400,223,209,200,685,642,614,0.32548491
"Census Tract 75, San Juan ",72127007500,232,212,200,411,375,354,0.56511190
"Census Tract 76, San Juan ",72127007600,162,177,200,371,406,459,0.43618948
"Census Tract 77, San Juan ",72127007700,196,170,150,394,341,301,0.49786351
"Census Tract 78, San Juan ",72127007800,216,191,200,220,194,203,0.98371932
"Census Tract 79, San Juan ",72127007900,209,193,200,189,175,181,1.10579602
"Census Tract 80.01, San Juan ",72127008001,268,257,250,372,357,347,0.72083586
"Census Tract 80.02, San Juan ",72127008002,326,303,250,658,612,505,0.49528669
"Census Tract 81, San Juan ",72127008100,215,205,200,295,282,275,0.72760168
"Census Tract 82.01, San Juan ",72127008201,142,116,100,621,508,438,0.22856694
"Census Tract 82.02, San Juan ",72127008202,151,143,150,191,181,190,0.78989058
"Census Tract 83, San Juan ",72127008300,160,145,150,377,341,353,0.42475937
"Census Tract 84, San Juan ",72127008400,309,261,250,152,129,123,2.02741518
"Census Tract 85, San Juan ",72127008500,299,268,250,393,352,328,0.76110816
"Census Tract 86.01, San Juan ",72127008601,168,158,150,224,211,200,0.74902696
"Census Tract 86.02, San Juan ",72127008602,304,287,300,252,237,248,1.20847300
"Census Tract 86.03, San Juan ",72127008603,211,183,150,560,486,398,0.37650826
"Census Tract 87, San Juan ",72127008700,169,152,150,646,581,573,0.26179892
"Census Tract 89, San Juan ",72127008900,149,125,150,272,228,274,0.54738259
"Census Tract 90, San Juan ",72127009000,241,232,200,672,647,557,0.35884803
"Census Tract 91.11, San Juan ",72127009111,238,215,200,638,577,537,0.37274922
"Census Tract 91.12, San Juan ",72127009112,255,240,200,460,433,361,0.55477049
"Census Tract 91.21, San Juan ",72127009121,308,273,300,265,235,259,1.16050278
"Census Tract 91.22, San Juan ",72127009122,272,253,250,157,146,144,1.73429237
"Census Tract 91.23, San Juan ",72127009123,316,278,250,543,478,430,0.58182934
"Census Tract 93, San Juan ",72127009300,233,211,200,253,229,217,0.92216186
"Census Tract 94, San Juan ",72127009400,224,197,200,202,178,180,1.10857182
"Census Tract 3017, Arecibo ",72013301700,291,257,300,17,15,17,17.37619201
"Census Tract 3018, Arecibo ",72013301800,135,146,150,5,6,6,25.92430717
"Census Tract 3019, Arecibo ",72013301900,398,355,350,5,4,4,79.78854384
"Census Tract 3020, Arecibo ",72013302000,181,182,200,28,28,30,6.56289455
"Census Tract 3021, Arecibo ",72013302100,203,178,200,13,11,13,15.75011849
"Census Tract 3022.01, Arecibo ",72013302201,291,271,250,46,43,40,6.29483237
"Census Tract 3022.02, Arecibo ",72013302202,303,277,300,21,19,21,14.56678675
"Census Tract 3023, Arecibo ",72013302300,467,407,400,12,11,10,38.76084238
"Census Tract 2801.01, Arroyo ",72015280101,255,247,200,14,14,11,17.63942131
"Census Tract 2801.02, Arroyo ",72015280102,231,202,200,35,31,30,6.61257831
"Census Tract 2802.01, Arroyo ",72015280201,296,278,250,85,80,72,3.47799662
"Census Tract 2802.02, Arroyo ",72015280202,180,156,150,16,14,13,11.33407357
"Census Tract 5901, Barceloneta ",72017590100,233,218,200,11,11,10,20.27332719
"Census Tract 5902, Barceloneta ",72017590200,203,193,200,84,80,83,2.41867152
"Census Tract 5903, Barceloneta ",72017590300,292,248,250,29,25,25,9.92123412
"Census Tract 5904, Barceloneta ",72017590400,212,187,200,13,11,12,16.36219359
"Census Tract 9522.01, Barranquitas ",72019952201,340,312,300,34,31,30,10.01747538
"Census Tract 9522.02, Barranquitas ",72019952202,341,308,300,14,13,13,23.65144718
"Census Tract 9523.01, Barranquitas ",72019952301,231,194,200,19,16,17,12.02289796
"Census Tract 9523.02, Barranquitas ",72019952302,228,206,200,13,11,11,17.98165049
"Census Tract 9524, Barranquitas ",72019952400,129,117,100,65,59,50,1.98322171
"Census Tract 9525, Barranquitas ",72019952500,255,236,250,11,10,11,23.13515865
"Census Tract 301.01, Bayamon ",72021030101,1297,1280,1200,162,160,150,7.99679367
"Census Tract 301.03, Bayamon ",72021030103,208,196,200,352,332,338,0.59110464
"Census Tract 301.04, Bayamon ",72021030104,319,310,300,311,302,292,1.02675307
"Census Tract 301.05, Bayamon ",72021030105,189,186,200,114,112,121,1.65664013
"Census Tract 302, Bayamon ",72021030200,270,246,250,233,212,216,1.15831048
"Census Tract 303, Bayamon ",72021030300,166,145,150,79,69,71,2.09899667
"Census Tract 307, Bayamon ",72021030700,146,122,100,587,490,402,0.24886518
"Census Tract 308, Bayamon ",72021030800,132,119,100,414,373,314,0.31895283
"Census Tract 309.01, Bayamon ",72021030901,258,242,250,417,392,405,0.61797638
"Census Tract 309.02, Bayamon ",72021030902,307,303,300,390,384,381,0.78812188
"Census Tract 309.03, Bayamon ",72021030903,226,220,250,509,495,563,0.44424156
"Census Tract 309.04, Bayamon ",72021030904,294,287,300,572,558,583,0.51421021
"Census Tract 310.04, Bayamon ",72021031004,232,205,200,323,285,278,0.71904551
"Census Tract 310.05, Bayamon ",72021031005,231,214,250,308,285,333,0.75049896
"Census Tract 310.11, Bayamon ",72021031011,309,290,300,274,257,266,1.12724405
"Census Tract 310.13, Bayamon ",72021031013,370,328,300,178,158,145,2.07331367
"Census Tract 310.21, Bayamon ",72021031021,257,252,250,111,109,108,2.31758453
"Census Tract 310.23, Bayamon ",72021031023,236,203,200,257,221,217,0.91994809
"Census Tract 310.31, Bayamon ",72021031031,328,315,300,229,220,210,1.43176880
"Census Tract 96.01, San Juan ",72127009601,187,185,200,161,159,172,1.16423351
"Census Tract 96.02, San Juan ",72127009602,232,196,200,181,153,156,1.28223909
"Census Tract 96.03, San Juan ",72127009603,187,173,200,249,231,267,0.74970010
"Census Tract 96.14, San Juan ",72127009614,232,216,250,310,288,334,0.74915811
"Census Tract 96.24, San Juan ",72127009624,322,293,250,254,231,197,1.26731480
"Census Tract 98, San Juan ",72127009800,233,193,200,80,66,69,2.91784237
"Census Tract 99.01, San Juan ",72127009901,283,256,250,246,222,217,1.15136716
"Census Tract 99.02, San Juan ",72127009902,347,315,300,166,150,143,2.09597795
"Census Tract 99.03, San Juan ",72127009903,315,306,300,135,131,128,2.33989153
"Census Tract 99.04, San Juan ",72127009904,303,275,250,497,451,410,0.60994615
"Census Tract 100.01, San Juan ",72127010001,264,237,250,157,141,149,1.68243080
"Census Tract 100.02, San Juan ",72127010002,234,224,200,104,100,89,2.24810119
"Census Tract 100.12, San Juan ",72127010012,236,220,250,153,143,162,1.54243932
"Census Tract 100.22, San Juan ",72127010022,233,208,200,127,114,109,1.83233631
"Census Tract 100.32, San Juan ",72127010032,216,196,200,180,163,167,1.19982782
"Census Tract 100.42, San Juan ",72127010042,327,289,300,30,27,28,10.85707860
"Census Tract 101, San Juan ",72127010100,370,353,350,43,41,41,8.51019321
"Census Tract 102, San Juan ",72127010200,260,240,250,30,27,28,8.77631319
"Census Tract 105, San Juan ",72127010500,149,141,150,49,46,49,3.06701771
"Census Tract 9800, San Juan ",72127980000,,,,0,0,0,1.26066952
"Census Tract 9801.01, San Juan ",72127980101,0,0,0,0,0,0,0.45175065
"Census Tract 9801.02, San Juan ",72127980102,0,0,0,0,0,0,0.29280840
"Census Tract 9801.03, San Juan ",72127980103,185,153,150,295,244,239,0.62754538
"Census Tract 9801.04, San Juan ",72127980104,0,0,0,0,0,0,3.91114842
"Census Tract 9801.05, San Juan ",72127980105,0,0,0,0,0,0,0.38211907
"Census Tract 9801.07, San Juan ",72127980107,0,0,0,0,0,0,0.11830726
"Census Tract 9801.08, San Juan ",72127980108,0,0,0,0,0,0,0.74713575
"Census Tract 9802, San Juan ",72127980200,9,,,10,0,0,0.88953096
"Census Tract 9803, San Juan ",72127980300,0,0,0,0,0,0,0.40776367
"Census Tract 2201, San Lorenzo ",72129220100,285,245,250,15,13,13,19.28002940
"Census Tract 2202, San Lorenzo ",72129220200,243,217,200,192,171,158,1.26863869
"Census Tract 2203, San Lorenzo ",72129220300,186,170,150,276,252,222,0.67495423
"Census Tract 2204.01, San Lorenzo ",72129220401,317,281,300,20,18,19,15.95147794
"Census Tract 2204.02, San Lorenzo ",72129220402,341,316,300,36,33,32,9.49766415
"Census Tract 2205.01, San Lorenzo ",72129220501,224,199,200,23,20,20,9.95330149
"Census Tract 2205.02, San Lorenzo ",72129220502,279,250,200,29,26,21,9.60859513
"Census Tract 2206, San Lorenzo ",72129220600,177,156,150,10,9,9,17.18587220
"Census Tract 2207, San Lorenzo ",72129220700,195,177,150,4,3,3,54.38386417
"Census Tract 92, San Sebastian ",72131009200,129,130,150,100,100,116,1.29606592
"Census Tract 9585, San Sebastian ",72131958500,280,284,250,9,9,8,32.26793052
"Census Tract 9587, San Sebastian ",72131958700,197,196,200,9,9,9,22.39278422
"Census Tract 9588, San Sebastian ",72131958800,260,259,250,7,7,7,36.24111297
"Census Tract 9589, San Sebastian ",72131958900,195,170,150,105,92,81,1.85537124
"Census Tract 310.32, Bayamon ",72021031032,282,281,250,154,153,136,1.83624925
"Census Tract 310.33, Bayamon ",72021031033,307,305,300,202,201,198,1.51611212
"Census Tract 311.01, Bayamon ",72021031101,196,169,150,192,165,147,1.02335868
"Census Tract 311.13, Bayamon ",72021031113,318,282,250,353,313,277,0.90145991
"Census Tract 311.14, Bayamon ",72021031114,219,202,200,354,326,323,0.61874411
"Census Tract 311.21, Bayamon ",72021031121,243,215,200,224,199,185,1.08263621
"Census Tract 311.22, Bayamon ",72021031122,238,226,250,322,305,338,0.73994858
"Census Tract 311.23, Bayamon ",72021031123,218,190,200,241,210,221,0.90398316
"Census Tract 311.24, Bayamon ",72021031124,203,200,200,317,313,313,0.63956400
"Census Tract 311.25, Bayamon ",72021031125,200,187,150,213,200,160,0.93726183
"Census Tract 312.01, Bayamon ",72021031201,220,197,150,577,516,393,0.38148610
"Census Tract 312.02, Bayamon ",72021031202,271,239,200,656,578,484,0.41342227
"Census Tract 312.03, Bayamon ",72021031203,242,224,250,625,578,646,0.38727118
"Census Tract 313.01, Bayamon ",72021031301,229,207,200,84,76,74,2.71476543
"Census Tract 313.04, Bayamon ",72021031304,243,206,200,95,80,78,2.57081471
"Census Tract 313.05, Bayamon ",72021031305,338,297,300,369,324,327,0.91694197
"Census Tract 313.06, Bayamon ",72021031306,252,223,200,133,117,105,1.90102618
"Census Tract 313.07, Bayamon ",72021031307,290,264,250,398,363,343,0.72781921
"Census Tract 314.01, Bayamon ",72021031401,221,215,200,343,334,311,0.64390694
"Census Tract 314.02, Bayamon ",72021031402,198,178,200,289,260,292,0.68465510
"Census Tract 314.03, Bayamon ",72021031403,195,182,200,253,236,259,0.77127289
"Census Tract 315.01, Bayamon ",72021031501,192,166,150,256,221,200,0.74980538
"Census Tract 315.02, Bayamon ",72021031502,247,235,250,449,427,454,0.55032788
"Census Tract 315.03, Bayamon ",72021031503,279,280,300,489,490,525,0.57097125
"Census Tract 316.11, Bayamon ",72021031611,180,167,150,252,234,210,0.71427529
"Census Tract 316.12, Bayamon ",72021031612,379,324,300,382,327,302,0.99222364
"Census Tract 316.21, Bayamon ",72021031621,149,140,150,270,254,272,0.55213628
"Census Tract 316.22, Bayamon ",72021031622,239,203,200,373,317,312,0.64065099
"Census Tract 316.31, Bayamon ",72021031631,324,316,300,468,457,434,0.69200308
"Census Tract 316.32, Bayamon ",72021031632,307,290,300,736,695,719,0.41737454
"Census Tract 316.41, Bayamon ",72021031641,271,250,250,620,572,572,0.43739179
"Census Tract 316.51, Bayamon ",72021031651,217,201,200,347,321,320,0.62526761
"Census Tract 317.01, Bayamon ",72021031701,292,252,250,96,83,83,3.02609297
"Census Tract 317.02, Bayamon ",72021031702,329,278,250,242,204,184,1.36020289
"Census Tract 317.03, Bayamon ",72021031703,252,243,250,89,86,89,2.81637751
"Census Tract 317.04, Bayamon ",72021031704,210,189,200,50,45,48,4.18490153
"Census Tract 318, Bayamon ",72021031800,305,247,250,51,42,42,5.94860443
"Census Tract 319, Bayamon ",72021031900,203,191,200,23,21,22,8.91958051
"Census Tract 320, Bayamon ",72021032000,134,117,100,15,13,11,8.92323467
"Census Tract 321, Bayamon ",72021032100,247,202,200,23,19,19,10.70041136
"Census Tract 322, Bayamon ",72021032200,259,234,200,36,32,28,7.25060635
"Census Tract 323.01, Bayamon ",72021032301,205,179,150,108,94,79,1.89829435
"Census Tract 323.02, Bayamon ",72021032302,217,215,200,52,51,48,4.21005516
"Census Tract 8301.01, Cabo Rojo ",72023830101,327,296,300,21,19,20,15.32556584
"Census Tract 9590, San Sebastian ",72131959000,278,268,250,131,126,118,2.11924961
"Census Tract 9592, San Sebastian ",72131959200,191,183,150,6,6,5,32.52257404
"Census Tract 9593, San Sebastian ",72131959300,265,234,250,8,7,7,34.51461472
"Census Tract 9595, San Sebastian ",72131959500,196,186,150,9,9,7,21.24587464
"Census Tract 9533, Santa Isabel ",72133953300,264,249,250,11,10,10,24.94220709
"Census Tract 9535, Santa Isabel ",72133953500,258,227,200,8,7,6,34.08180242
"Census Tract 9536, Santa Isabel ",72133953600,207,191,150,9,8,6,24.34799872
"Census Tract 9537, Santa Isabel ",72133953700,254,233,250,216,198,213,1.17625295
"Census Tract 9538, Santa Isabel ",72133953800,194,183,200,33,31,34,5.81168219
"Census Tract 5101.01, Toa Alta ",72135510101,323,309,300,115,110,107,2.80647016
"Census Tract 5101.02, Toa Alta ",72135510102,278,256,250,125,115,112,2.23022545
"Census Tract 5102, Toa Alta ",72135510200,335,315,300,38,36,34,8.76955581
"Census Tract 5103, Toa Alta ",72135510300,200,178,200,144,128,144,1.39315904
"Census Tract 5104, Toa Alta ",72135510400,314,287,300,44,41,42,7.06526653
"Census Tract 5105.02, Toa Alta ",72135510502,332,302,250,138,125,104,2.41412507
"Census Tract 5105.03, Toa Alta ",72135510503,345,310,350,147,132,149,2.34583514
"Census Tract 5105.04, Toa Alta ",72135510504,311,300,300,242,234,234,1.28337135
"Census Tract 5105.05, Toa Alta ",72135510505,285,259,250,165,150,145,1.72681272
"Census Tract 5106.01, Toa Alta ",72135510601,291,277,300,33,31,34,8.88968195
"Census Tract 5106.02, Toa Alta ",72135510602,252,226,200,19,17,15,13.56071140
"Census Tract 5107.01, Toa Alta ",72135510701,226,205,200,18,17,16,12.31264941
"Census Tract 5107.02, Toa Alta ",72135510702,303,282,250,46,43,38,6.58016958
"Census Tract 1202, Toa Baja ",72137120200,234,206,200,69,61,59,3.37893769
"Census Tract 1203, Toa Baja ",72137120300,161,148,150,212,195,197,0.75969465
"Census Tract 1204, Toa Baja ",72137120400,166,164,200,123,122,148,1.34760397
"Census Tract 1205, Toa Baja ",72137120500,173,141,150,656,535,569,0.26376122
"Census Tract 1206, Toa Baja ",72137120600,225,209,200,354,329,314,0.63601261
"Census Tract 1207, Toa Baja ",72137120700,128,123,150,523,503,613,0.24468635
"Census Tract 1208, Toa Baja ",72137120800,286,242,200,236,200,165,1.21176726
"Census Tract 1209, Toa Baja ",72137120900,289,256,250,452,400,391,0.64004968
"Census Tract 1210.01, Toa Baja ",72137121001,247,241,250,343,335,347,0.72020294
"Census Tract 1210.02, Toa Baja ",72137121002,255,246,250,331,319,324,0.77051996
"Census Tract 1211, Toa Baja ",72137121100,200,177,200,200,177,200,0.99836991
"Census Tract 1212, Toa Baja ",72137121200,210,192,200,236,216,224,0.89087323
"Census Tract 1213, Toa Baja ",72137121300,177,150,150,164,139,139,1.07723851
"Census Tract 1214, Toa Baja ",72137121400,193,189,200,41,40,43,4.69290205
"Census Tract 1217.01, Toa Baja ",72137121701,265,268,250,39,39,37,6.82599475
"Census Tract 1217.02, Toa Baja ",72137121702,187,171,150,20,18,16,9.49574495
"Census Tract 1218.01, Toa Baja ",72137121801,181,145,150,48,39,40,3.73382939
"Census Tract 1218.02, Toa Baja ",72137121802,201,186,200,38,35,37,5.33587857
"Census Tract 1219, Toa Baja ",72137121900,202,180,200,171,153,170,1.17989151
"Census Tract 1220.01, Toa Baja ",72137122001,317,284,250,161,145,127,1.96367373
"Census Tract 1220.02, Toa Baja ",72137122002,269,229,250,120,102,111,2.24868991
"Census Tract 8301.02, Cabo Rojo ",72023830102,355,309,300,24,21,20,14.66467620
"Census Tract 8302, Cabo Rojo ",72023830200,258,227,200,9,8,7,29.37630957
"Census Tract 8303, Cabo Rojo ",72023830300,171,149,150,35,31,31,4.86836146
"Census Tract 8304, Cabo Rojo ",72023830400,211,188,150,42,38,30,4.97339967
"Census Tract 8305.02, Cabo Rojo ",72023830502,242,238,200,12,11,10,20.98468742
"Census Tract 8305.03, Cabo Rojo ",72023830503,183,171,150,20,19,17,8.93114606
"Census Tract 8305.04, Cabo Rojo ",72023830504,223,216,250,62,60,69,3.61373409
"Census Tract 8306.03, Cabo Rojo ",72023830603,357,318,300,7,6,6,50.82216565
"Census Tract 8306.04, Cabo Rojo ",72023830604,150,138,100,5,5,3,30.24514447
"Census Tract 9800, Cabo Rojo ",72023980000,0,0,0,0,0,0,8.38318333
"Census Tract 9900, Cabo Rojo ",72023990000,0,0,0,0,0,0,0.01383641
"Census Tract 2001, Caguas ",72025200100,317,264,250,26,22,20,12.20427292
"Census Tract 2002, Caguas ",72025200200,244,195,200,33,26,27,7.45588952
"Census Tract 2003.02, Caguas ",72025200302,310,288,300,33,31,32,9.35539464
"Census Tract 2003.03, Caguas ",72025200303,370,336,300,53,48,43,7.00290538
"Census Tract 2003.04, Caguas ",72025200304,247,205,200,29,24,23,8.56851613
"Census Tract 2004, Caguas ",72025200400,249,231,200,141,131,113,1.76271440
"Census Tract 2005, Caguas ",72025200500,244,217,200,136,121,111,1.79500980
"Census Tract 2006, Caguas ",72025200600,280,261,250,131,122,117,2.13247018
"Census Tract 2007, Caguas ",72025200700,293,284,250,290,282,248,1.00885019
"Census Tract 2008, Caguas ",72025200800,228,190,200,139,116,122,1.63730020
"Census Tract 2009, Caguas ",72025200900,198,182,200,872,802,881,0.22700964
"Census Tract 2010, Caguas ",72025201000,158,154,150,134,130,127,1.18302289
"Census Tract 2012, Caguas ",72025201200,206,193,200,352,330,341,0.58569006
"Census Tract 2013, Caguas ",72025201300,208,184,200,274,242,263,0.75972128
"Census Tract 2014, Caguas ",72025201400,294,241,200,712,584,485,0.41276678
"Census Tract 2015, Caguas ",72025201500,214,195,200,364,331,340,0.58861029
"Census Tract 2016, Caguas ",72025201600,179,159,150,341,303,286,0.52439968
"Census Tract 2017, Caguas ",72025201700,260,256,250,454,447,437,0.57217965
"Census Tract 2018, Caguas ",72025201800,229,209,200,176,161,154,1.30045721
"Census Tract 2019, Caguas ",72025201900,180,144,150,564,451,470,0.31935837
"Census Tract 2020, Caguas ",72025202000,271,227,200,246,206,182,1.10014258
"Census Tract 2021, Caguas ",72025202100,211,200,200,235,223,223,0.89666996
"Census Tract 2022, Caguas ",72025202200,212,184,200,369,321,348,0.57398033
"Census Tract 2023, Caguas ",72025202300,226,214,200,309,292,273,0.73166227
"Census Tract 2024.02, Caguas ",72025202402,331,307,300,99,91,89,3.36009674
"Census Tract 2024.03, Caguas ",72025202403,247,226,200,36,33,29,6.93525106
"Census Tract 2024.04, Caguas ",72025202404,285,263,250,41,38,36,6.99852340
"Census Tract 2025, Caguas ",72025202500,253,224,200,23,20,18,11.09875557
"Census Tract 2026.01, Caguas ",72025202601,237,220,200,96,90,81,2.45775018
"Census Tract 2026.02, Caguas ",72025202602,324,307,300,32,30,30,10.16503452
"Census Tract 2027.01, Caguas ",72025202701,311,279,300,27,24,26,11.59850812
"Census Tract 2027.02, Caguas ",72025202702,346,288,250,16,13,11,21.77995158
"Census Tract 2028, Caguas ",72025202800,250,223,200,16,14,13,15.89129999
"Census Tract 1221, Toa Baja ",72137122100,261,233,200,87,78,67,2.99565500
"Census Tract 1222.01, Toa Baja ",72137122201,211,188,150,218,194,155,0.96986445
"Census Tract 1222.02, Toa Baja ",72137122202,193,168,150,219,190,170,0.88229559
"Census Tract 1224, Toa Baja ",72137122400,195,168,150,22,19,17,9.01673624
"Census Tract 9900, Toa Baja ",72137990000,0,0,0,0,0,0,1.24849846
"Census Tract 601.02, Trujillo Alto ",72139060102,254,241,250,192,182,189,1.32583702
"Census Tract 601.03, Trujillo Alto ",72139060103,202,191,200,184,174,182,1.09621508
"Census Tract 601.04, Trujillo Alto ",72139060104,199,198,200,58,58,59,3.41242672
"Census Tract 602.11, Trujillo Alto ",72139060211,247,234,200,113,107,91,2.19068902
"Census Tract 602.12, Trujillo Alto ",72139060212,320,295,300,337,311,316,0.94841003
"Census Tract 602.13, Trujillo Alto ",72139060213,216,217,200,247,248,229,0.87360278
"Census Tract 602.22, Trujillo Alto ",72139060222,375,348,350,469,435,438,0.79909147
"Census Tract 602.23, Trujillo Alto ",72139060223,268,262,250,156,153,146,1.71398071
"Census Tract 603.01, Trujillo Alto ",72139060301,443,387,350,128,112,101,3.44861462
"Census Tract 603.02, Trujillo Alto ",72139060302,285,223,200,30,23,21,9.50168206
"Census Tract 604.01, Trujillo Alto ",72139060401,280,248,250,42,38,38,6.59472498
"Census Tract 604.03, Trujillo Alto ",72139060403,297,283,250,62,59,52,4.81893165
"Census Tract 604.04, Trujillo Alto ",72139060404,315,303,300,133,128,127,2.36082625
"Census Tract 605.01, Trujillo Alto ",72139060501,331,342,350,47,48,49,7.07937313
"Census Tract 605.02, Trujillo Alto ",72139060502,247,239,250,27,26,27,9.21432754
"Census Tract 9569, Utuado ",72141956900,292,244,200,4,3,3,74.65649007
"Census Tract 9570, Utuado ",72141957000,301,265,250,6,6,5,47.06582328
"Census Tract 9571, Utuado ",72141957100,317,281,250,4,4,3,76.38942638
"Census Tract 9572, Utuado ",72141957200,299,270,250,7,6,6,44.35249522
"Census Tract 9573, Utuado ",72141957300,234,212,200,89,80,76,2.63447029
"Census Tract 9574, Utuado ",72141957400,256,223,200,101,88,79,2.53744779
