NAME,GEOID,totpop_16,totpop_17,totpop_18
"Census Tract 816.02, Mayaguez Municipio, Puerto Rico",72097081602,238,215,200
"Census Tract 817, Mayaguez Municipio, Puerto Rico",72097081700,237,193,200
"Census Tract 818, Mayaguez Municipio, Puerto Rico",72097081800,245,234,250
"Census Tract 819, Mayaguez Municipio, Puerto Rico",72097081900,207,174,150
"Census Tract 820.01, Mayaguez Municipio, Puerto Rico",72097082001,237,227,250
"Census Tract 820.12, Mayaguez Municipio, Puerto Rico",72097082012,193,185,150
"Census Tract 820.22, Mayaguez Municipio, Puerto Rico",72097082022,250,226,200
"Census Tract 821.02, Mayaguez Municipio, Puerto Rico",72097082102,253,232,200
"Census Tract 821.03, Mayaguez Municipio, Puerto Rico",72097082103,305,279,250
"Census Tract 821.04, Mayaguez Municipio, Puerto Rico",72097082104,198,185,150
"Census Tract 9900, Mayaguez Municipio, Puerto Rico",72097990000,0,0,0
"Census Tract 4201, Moca Municipio, Puerto Rico",72099420100,281,267,300
"Census Tract 4202, Moca Municipio, Puerto Rico",72099420200,277,272,250
"Census Tract 4203.01, Moca Municipio, Puerto Rico",72099420301,202,199,200
"Census Tract 4203.02, Moca Municipio, Puerto Rico",72099420302,256,243,250
"Census Tract 4204.01, Moca Municipio, Puerto Rico",72099420401,239,248,250
"Census Tract 4204.02, Moca Municipio, Puerto Rico",72099420402,322,258,250
"Census Tract 4205, Moca Municipio, Puerto Rico",72099420500,236,217,250
"Census Tract 9552.01, Morovis Municipio, Puerto Rico",72101955201,299,291,300
"Census Tract 5606, Vega Baja Municipio, Puerto Rico",72145560600,201,171,200
"Census Tract 5607.01, Vega Baja Municipio, Puerto Rico",72145560701,241,228,200
"Census Tract 5607.02, Vega Baja Municipio, Puerto Rico",72145560702,212,184,200
"Census Tract 5608.01, Vega Baja Municipio, Puerto Rico",72145560801,156,124,150
"Census Tract 5608.02, Vega Baja Municipio, Puerto Rico",72145560802,238,187,200
"Census Tract 5609, Vega Baja Municipio, Puerto Rico",72145560900,315,295,300
"Census Tract 9900, Vega Baja Municipio, Puerto Rico",72145990000,0,0,0
"Census Tract 9505, Vieques Municipio, Puerto Rico",72147950500,141,109,100
"Census Tract 9506, Vieques Municipio, Puerto Rico",72147950600,174,171,200
"Census Tract 9900, Vieques Municipio, Puerto Rico",72147990000,0,0,0
"Census Tract 7201, Villalba Municipio, Puerto Rico",72149720100,322,301,300
"Census Tract 7203, Villalba Municipio, Puerto Rico",72149720300,393,368,300
"Census Tract 7204, Villalba Municipio, Puerto Rico",72149720400,249,236,200
"Census Tract 7205.02, Villalba Municipio, Puerto Rico",72149720502,252,214,200
"Census Tract 7205.03, Villalba Municipio, Puerto Rico",72149720503,302,305,300
"Census Tract 7205.04, Villalba Municipio, Puerto Rico",72149720504,270,246,250
"Census Tract 9506, Yabucoa Municipio, Puerto Rico",72151950600,230,197,200
"Census Tract 9507, Yabucoa Municipio, Puerto Rico",72151950700,156,142,150
"Census Tract 9508, Yabucoa Municipio, Puerto Rico",72151950800,251,218,200
"Census Tract 9509, Yabucoa Municipio, Puerto Rico",72151950900,327,297,300
"Census Tract 9510, Yabucoa Municipio, Puerto Rico",72151951000,204,191,150
"Census Tract 9511, Yabucoa Municipio, Puerto Rico",72151951100,246,231,250
"Census Tract 9512, Yabucoa Municipio, Puerto Rico",72151951200,243,211,200
"Census Tract 9513, Yabucoa Municipio, Puerto Rico",72151951300,309,286,250
